Term,Frequency
refreshing,4
💯,4
pack,4
tough,4
several,4
thyroid,4
restaurant,4
explanation,4
esp,4
oval,4
fox,4
space,4
pedestal,4
skinny-shaming,4
boundary,4
fatter,4
3.5,4
zoomed,4
photogenic,4
한국,4
brazilian,4
subcontinent,4
kashmir,4
👩,4
#ive,4
hindu,4
motivated,4
#kep1er,4
crisis,4
buccal,4
ana,3
culo,3
dare,3
inadequate,3
hiring,3
。,3
immigrant,3
travel,3
throw,3
shop,3
huh,3
vulgar,3
pre,3
occupied,3
highschool,3
mocking,3
protects,3
uv,3
lotion,3
endless,3
associated,3
peasant,3
vacation,3
irish,3
indonesian,3
belief,3
myth,3
leader,3
discrimination,3
subtle,3
forefront,3
reflection,3
anybody,3
existing,3
erase,3
consequence,3
viewed,3
associate,3
played,3
charm,3
reflects,3
peel,3
devil,3
missed,3
bm,3
prescribed,3
southern,3
geisha,3
activity,3
pedophilia,3
bus,3
abnormal,3
finger,3
pill,3
vocal,3
almond,3
driving,3
ruin,3
healthily,3
drastically,3
greatly,3
patriarchy,3
alter,3
blond,3
relatively,3
incentive,3
effective,3
gaining,3
previously,3
particularly,3
increase,3
heroin,3
inspiring,3
began,3
altogether,3
believing,3
honesty,3
kindness,3
air,3
shopping,3
openly,3
sephora,3
altered,3
oily,3
celeb,3
ariana,3
rag,3
photoshopped,3
buying,3
nutrition,3
wet,3
achievable,3
consistent,3
allergic,3
retinol,3
mask,3
lipstick,3
👍🏽,3
creative,3
bare,3
☠,3
draw,3
essentially,3
butter,3
wedding,3
tape,3
awhile,3
threatening,3
twenty,3
insanely,3
eu,3
con,3
widespread,3
horrendous,3
salad,3
torta,3
deleted,3
inhumane,3
covid,3
praised,3
child-like,3
cindy,3
saving,3
perform,3
frustrating,3
pedophile,3
sat,3
uniform,3
friendly,3
outfit,3
pant,3
jean,3
planned,3
recover,3
vice,3
facing,3
petite,3
waistline,3
fitness,3
cat,3
beast,3
skeleton,3
suppose,3
bored,3
fried,3
